,1001temp,1001rhum,1001prcp,1001wdir,1001wspd,1001pres
2018-01-01 00:00:00,2.5,59.0,0.8,350.0,20.5,1026.4
2018-01-01 00:15:00,2.5,59.0,0.8,350.0,20.5,1026.4
2018-01-01 00:30:00,2.5,59.0,0.8,350.0,20.5,1026.4
2018-01-01 00:45:00,2.5,59.0,0.8,350.0,20.5,1026.4
2018-01-01 01:00:00,2.5,59.0,0.8,350.0,20.5,1026.4
2018-01-01 01:15:00,2.275,58.0,0.8,352.5,20.5,1026.575
2018-01-01 01:30:00,2.05,57.0,0.8,355.0,20.5,1026.75
2018-01-01 01:45:00,1.8250000000000002,56.0,0.8,357.5,20.5,1026.925
2018-01-01 02:00:00,1.6,55.0,0.8,360.0,20.5,1027.1
2018-01-01 02:15:00,1.2750000000000001,55.5,0.8,357.5,19.525,1027.375
2018-01-01 02:30:00,0.9500000000000001,56.0,0.8,355.0,18.55,1027.65
2018-01-01 02:45:00,0.625,56.5,0.8,352.5,17.575000000000003,1027.925
2018-01-01 03:00:00,0.3,57.0,0.8,350.0,16.6,1028.2
2018-01-01 03:15:00,0.04999999999999999,57.75,0.8,350.0,16.6,1028.275
2018-01-01 03:30:00,-0.2,58.5,0.8,350.0,16.6,1028.35
2018-01-01 03:45:00,-0.45,59.25,0.8,350.0,16.6,1028.425
2018-01-01 04:00:00,-0.7,60.0,0.8,350.0,16.6,1028.5
2018-01-01 04:15:00,-0.7749999999999999,58.5,0.8,350.0,18.475,1028.575
2018-01-01 04:30:00,-0.85,57.0,0.8,350.0,20.35,1028.65
2018-01-01 04:45:00,-0.925,55.5,0.8,350.0,22.225,1028.725
2018-01-01 05:00:00,-1.0,54.0,0.8,350.0,24.1,1028.8
2018-01-01 05:15:00,-1.125,52.5,0.8,347.5,23.200000000000003,1028.9
2018-01-01 05:30:00,-1.25,51.0,0.8,345.0,22.3,1029.0
2018-01-01 05:45:00,-1.375,49.5,0.8,342.5,21.4,1029.1
2018-01-01 06:00:00,-1.5,48.0,0.8,340.0,20.5,1029.2
2018-01-01 06:15:00,-1.675,47.0,0.8,345.0,20.95,1029.275
2018-01-01 06:30:00,-1.85,46.0,0.8,350.0,21.4,1029.35
2018-01-01 06:45:00,-2.0250000000000004,45.0,0.8,355.0,21.85,1029.425
2018-01-01 07:00:00,-2.2,44.0,0.8,360.0,22.3,1029.5
2018-01-01 07:15:00,-2.35,45.0,0.8,357.5,21.85,1029.6
2018-01-01 07:30:00,-2.5,46.0,0.8,355.0,21.4,1029.7
2018-01-01 07:45:00,-2.65,47.0,0.8,352.5,20.95,1029.8000000000002
2018-01-01 08:00:00,-2.8,48.0,0.8,350.0,20.5,1029.9
2018-01-01 08:15:00,-3.0,48.0,0.8,347.5,19.975,1030.075
2018-01-01 08:30:00,-3.2,48.0,0.8,345.0,19.45,1030.25
2018-01-01 08:45:00,-3.4,48.0,0.8,342.5,18.924999999999997,1030.425
2018-01-01 09:00:00,-3.6,48.0,0.8,340.0,18.4,1030.6
2018-01-01 09:15:00,-3.75,48.25,0.8,342.5,19.825,1030.6
2018-01-01 09:30:00,-3.9000000000000004,48.5,0.8,345.0,21.25,1030.6
